,mediapipe,rotationCompMap,forwardKinematic,searchFV,poseBlending
mean,0.032271237552349924,0.0008730469853339589,4.5580065181966e-05,0.0005380878275108691,0.0004869970524016979
std,0.0039532163979548885,0.0008969808805054109,1.2517697002904563e-05,0.0009811690804570172,0.00010424993170266432
90Percentile,0.0326578199999957,0.0010200999999997993,5.48000000000215e-05,0.0007126399999997601,0.0005694400000000726
