,mediapipe,rotationCompMap,forwardKinematic,searchFV,poseBlending
mean,0.03208454950593929,0.0008566175195664227,0.00010003263094520184,0.0004812132898923916,0.0005168184118805725
std,0.0037846337136393645,0.0007846156697068901,0.00010232470110710692,0.001025042661533513,0.00044410452522576107
90Percentile,0.0324187000000009,0.0010456800000000204,0.00025380000000015,0.0005437999999999,0.0005981199999992874
