,mediapipe,rotationCompMap,forwardKinematic,searchFV,poseBlending
mean,0.031696395035998484,0.0009210653898767821,5.209699042407515e-05,0.0004996969529085383,0.000580215373961169
std,0.002869340989190048,0.001821147020083608,1.6486983382858547e-05,0.0013679185441909075,0.0004948433842086821
90Percentile,0.0323843799999994,0.0010433999999998108,6.810000000001537e-05,0.0005798400000002,0.0006920099999999558
