,mediapipe,rotationCompMap,forwardKinematic,searchFV,poseBlending
mean,0.03436462397868561,0.0009631227758006114,0.0002807306761565332,0.00039709856733519496,0.0004599422636102677
std,0.006897342365781586,0.00023026454077898094,7.73873366733285e-05,0.0007926814121805844,3.660274101463424e-05
90Percentile,0.04720727999999954,0.001218300000000005,0.00034182000000012,0.0004414499999998,0.00048190000000000467
