,mediapipe,rotationCompMap,forwardKinematic,searchFV,poseBlending
mean,0.03166539535603715,0.0008446968888887878,5.726577777777522e-05,0.0006016635241301425,0.00062413692480354
std,0.002745466187922999,0.0002242785591956965,4.0184375487505414e-05,0.0014815386160311908,0.001084381156357951
90Percentile,0.03217602999999793,0.0011740100000003158,7.519999999994198e-05,0.000639,0.0007752999999998472
