,mediapipe,rotationCompMap,forwardKinematic,searchFV,poseBlending
mean,0.031627113011632915,0.000734223995472452,5.4700169779285e-05,0.0004201004550625222,0.0005126309442547827
std,0.002529310003661866,0.00011243600561301108,2.2777935693214444e-05,0.0007373215581814704,0.00014535316811576727
90Percentile,0.0323040999999997,0.0008445199999996287,7.389999999984909e-05,0.00048817999999976994,0.0006061700000000683
