kSimilarSearch,poseBlending,EWMA
0.00042490000000006134,0.0004208999999999463,4.7399999999697684e-05
0.0003633999999999027,0.0005299000000000831,4.510000000035319e-05
0.0003528999999997673,0.00044909999999998007,6.139999999987822e-05
0.00036089999999999733,0.0006355000000000111,4.500000000007276e-05
0.00036410000000008935,0.000803499999999957,4.5400000000306306e-05
0.0003606000000000442,0.00047079999999999345,4.4099999999325235e-05
0.0003603000000000911,0.00041840000000004096,6.170000000071951e-05
0.00035909999999983455,0.0004021999999999082,4.439999999927835e-05
0.00036020000000025476,0.0004021999999999082,4.5400000000306306e-05
0.0003599999999996939,0.00040160000000000196,4.4200000000493844e-05
0.00036300000000011323,0.0004012000000002125,4.939999999997724e-05
0.0003681000000002044,0.0004006999999996985,4.449999999955878e-05
0.00036249999999959925,0.00042070000000027363,4.440000000016653e-05
0.0003553000000002804,0.0004322000000001047,4.410000000021341e-05
0.00035730000000011586,0.0004116999999999038,5.6799999999412876e-05
0.0003620999999998098,0.0004135000000000666,4.510000000035319e-05
0.0004238000000000852,0.00041519999999994894,4.4700000000119644e-05
0.0003668000000001115,0.00041489999999999583,4.459999999983921e-05
0.0004732999999998988,0.00041469999999987905,4.730000000030543e-05
0.00045509999999993056,0.0004135000000000666,4.599999999932436e-05
0.00036490000000011236,0.0004238000000000852,4.490000000068051e-05
0.0003638999999999726,0.0004146000000000427,4.42999999998861e-05
0.0003660999999999248,0.00041389999999985605,4.509999999946501e-05
0.00036669999999983105,0.00041469999999987905,4.4700000000119644e-05
0.00036930000000001684,0.0004140000000001365,4.500000000007276e-05
0.0003643000000002061,0.0004695999999997369,4.5799999999651675e-05
0.00036119999999995045,0.0007219000000002751,4.730000000030543e-05
0.00039450000000007535,0.0005953999999999127,0.00011489999999980682
0.0003592999999999513,0.0004236999999998048,4.990000000049122e-05
0.00036719999999990094,0.00041990000000025063,4.489999999979233e-05
0.0003606000000000442,0.0004197999999999702,4.5899999999932106e-05
