0,1,2,3,4
282,546,18,811,1075
283,19,547,811,1075
284,548,20,812,813
285,549,21,813,1077
286,22,550,814,1078
287,551,23,815,3223
288,552,24,816,3499
289,553,25,817,1081
290,554,26,818,1082
291,555,27,819,33
292,28,556,820,6364
293,29,557,822,1086
294,30,558,822,1086
295,31,559,823,1087
296,560,32,824,1088
297,33,561,825,1089
298,34,562,826,1090
299,563,35,827,1091
300,36,564,828,1092
301,37,565,829,1093
302,566,38,830,1094
303,567,39,831,1095
304,40,568,832,1096
305,569,41,833,1097
306,570,42,834,1098
307,43,571,835,1099
308,572,44,836,1100
309,573,45,837,1101
310,574,46,838,1102
311,575,47,1639,839
312,576,48,1640,1906
313,577,49,841,4193
314,578,50,4566,5138
315,51,579,843,1107
316,580,52,51,844
317,581,53,845,1109
318,54,582,2470,2204
319,55,583,847,1243
320,584,56,848,2613
321,57,585,849,1113
322,58,586,850,1114
323,587,59,1116,852
324,588,60,852,1116
325,61,589,853,1117
326,62,590,854,63
327,591,63,855,62
328,64,592,856,1120
329,593,65,857,1121
330,66,594,595,331
331,595,67,594,330
332,596,68,66,1123
333,597,69,2773,3047
334,598,70,862,1126
335,599,71,4832,4557
336,72,600,4534,4235
337,73,601,865,5612
338,74,602,4164,2733
339,603,75,4563,4862
340,604,76,868,5126
341,77,605,869,5450
342,78,606,4853,870
343,79,607,871,1135
344,608,80,872,1136
345,609,81,93,357
346,82,610,107,371
347,83,611,875,1139
348,612,84,876,1140
349,85,613,877,1141
350,86,614,878,4512
351,615,87,2803,2767
352,88,616,2804,3078
353,617,89,244,881
354,618,90,186,450
355,91,619,187,451
356,92,620,884,1148
357,609,684,93,621
358,94,622,2738,886
359,623,95,887,1151
360,96,624,888,1152
361,97,625,889,1153
362,98,626,890,1154
363,627,99,891,1155
364,100,628,892,4861
365,629,101,893,243
366,630,102,353,89
367,631,103,1243,979
368,104,632,1972,896
369,105,633,3916,144
370,634,106,357,609
371,107,635,610,346
372,636,108,900,611
373,109,637,901,1165
374,110,638,902,1166
375,639,111,903,4046
376,640,112,904,1168
377,641,113,905,1169
378,642,114,906,1290
379,643,115,1027,907
380,644,116,908,1210
381,645,117,909,1173
382,93,420,118,646
383,647,119,4234,94
384,120,648,912,5654
385,121,649,132,396
386,650,122,3420,3146
387,651,123,3329,915
388,124,652,916,1180
389,125,653,917,10725
390,654,126,1465,1731
391,127,655,919,3082
392,4233,621,673,634
393,657,129,2738,358
394,658,130,922,1186
395,131,659,923,1187
396,660,132,924,1188
397,661,133,925,1189
398,230,134,662,494
399,135,663,927,495
400,136,664,1758,496
401,137,665,929,2360
402,138,666,930,1194
403,139,667,931,1195
404,140,668,932,1196
405,141,669,933,1197
406,670,142,934,1198
407,671,143,935,1199
408,3916,706,633,970
409,128,443,673,145
410,674,146,1710,9939
411,147,675,1445,1711
412,3327,148,676,3053
413,677,149,448,1447
414,678,150,942,1206
415,151,679,943,2248
416,680,152,234,944
417,153,681,945,3308
418,682,154,946,1210
419,683,155,144,117
420,93,357,128,179
421,685,157,1778,2739
422,158,686,2072,1806
423,687,159,2073,1807
424,688,160,952,172
425,161,689,953,1217
426,690,162,954,1218
427,691,163,955,1231
428,692,164,153,2760
429,693,165,957,2761
430,166,694,3118,958
431,167,695,3621,12364
432,696,168,3062,3074
433,697,169,10722,10626
434,170,698,962,3064
435,171,699,963,482
436,700,172,964,942
437,173,701,965,1229
438,702,174,1451,1717
439,703,175,967,1231
440,176,704,968,1232
441,177,705,969,1233
442,706,178,144,3642
443,409,179,707,741
444,180,708,1567,4246
445,709,181,973,215
446,182,710,974,109
447,183,711,975,148
448,184,712,1447,413
449,185,713,977,1024
450,714,186,978,1242
451,187,715,979,619
452,188,716,1015,751
453,189,717,1537,1803
454,190,718,4496,4197
455,719,191,983,1247
456,720,192,984,373
457,193,721,985,2088
458,722,194,986,2369
459,723,195,218,2048
460,724,196,988,1491
461,197,725,714,978
462,726,198,2026,1760
463,727,199,2041,1775
464,728,200,992,1256
465,1442,201,729,1708
466,1763,2029,1988,1722
467,1764,2030,1498,203
468,732,204,1540,1806
469,205,733,159,997
470,734,206,701,965
471,735,207,999,1263
472,208,736,1000,1264
473,737,209,1001,1265
474,210,738,1002,1266
475,739,211,1551,154
476,740,212,1004,1818
477,489,753,213,741
478,490,214,742,226
479,743,215,1007,1271
480,744,216,446,182
481,745,217,1250,1009
482,218,746,723,459
483,219,747,1011,460
484,748,220,1012,1276
485,749,221,1562,1828
486,222,750,1014,1278
487,751,223,1015,1279
488,224,752,1016,1762
489,477,225,753,12363
490,754,226,478,742
491,755,227,2739,1834
492,228,756,1020,2367
493,229,757,1189,1836
494,662,926,758,230
495,231,759,1023,399
496,760,232,1024,1532
497,761,233,1025,1969
498,234,762,680,1026
499,763,235,681,945
500,236,764,1210,946
501,765,237,1029,1293
502,3311,2798,3050,3324
503,3038,239,767,3312
504,240,768,1032,3039
505,769,241,3338,1033
506,242,770,3134,3408
507,243,771,3456,3182
508,772,244,1036,1300
509,245,773,1037,1301
510,246,774,1038,2516
511,247,775,1039,1304
512,776,248,1040,1304
513,249,777,1041,1305
514,778,250,1042,1306
515,251,779,1043,1307
516,252,780,1044,1308
517,781,253,1045,1309
518,254,782,1046,1311
519,783,255,1047,1311
520,784,256,1048,1312
521,785,257,1049,1313
522,258,786,1050,1314
523,259,787,1051,1315
524,260,788,1052,1316
525,789,261,1053,1317
526,790,262,1054,1318
527,791,263,1055,1319
528,264,792,0,1056
529,265,793,1,1057
530,266,794,1058,2
531,267,795,3,1059
532,796,268,1060,4
533,269,797,1061,5
534,270,798,1062,6
535,799,271,7,1063
536,272,800,7,271
537,801,273,9,1065
538,802,274,1066,10
539,803,275,11,1067
540,276,804,6351,1598
541,805,277,1069,13
542,278,806,2132,1070
543,807,279,2133,1867
544,808,280,16,1072
545,809,281,17,1073
546,810,282,18,1074
547,811,283,19,1075
548,284,812,1076,20
549,285,813,1077,21
550,286,814,22,1078
551,287,815,23,1079
552,288,816,1080,24
553,289,817,1081,25
554,290,818,1082,26
555,291,819,27,1083
556,820,292,6364,6668
557,821,293,1085,29
558,822,294,30,1086
559,823,295,31,1087
560,296,824,1088,32
561,297,825,33,1089
562,826,298,1090,34
563,299,827,1091,35
564,828,300,1092,36
565,301,829,37,1093
566,302,830,1094,38
567,303,831,1095,39
568,832,304,1096,40
569,833,305,41,1097
570,306,834,42,1098
571,307,835,1099,43
572,308,836,44,1100
573,309,837,45,1101
574,310,838,46,1102
575,311,839,1103,47
576,840,312,1104,48
577,841,313,1105,49
578,314,842,4230,50
579,843,315,1107,51
580,316,844,51,315
581,317,845,1109,53
582,846,318,54,1110
583,319,847,55,1111
584,848,320,1112,56
585,849,321,57,1113
586,850,322,1114,58
587,323,851,1115,59
588,324,852,60,1116
589,853,325,1117,61
590,854,326,1118,62
591,327,855,1119,63
592,856,328,1120,64
593,329,857,65,1121
594,858,330,331,65
595,859,331,330,66
596,332,860,330,595
597,333,861,2040,1774
598,862,334,1126,70
599,335,863,5131,5155
600,864,336,4534,4833
601,865,337,5612,1129
602,866,338,4164,3301
603,867,339,5161,3008
604,340,868,76,1132
605,869,341,77,1133
606,870,342,1134,78
607,871,343,1135,79
608,872,344,1136,80
609,357,345,873,646
610,874,346,14276,371
611,875,347,83,1139
612,876,348,1140,84
613,877,349,1141,85
614,878,350,86,1142
615,351,879,3077,2803
616,352,880,3078,3352
617,353,881,89,1145
618,354,882,450,714
619,883,355,451,715
620,356,884,92,1148
621,873,684,634,1137
622,886,358,2738,1150
623,887,359,1151,95
624,888,360,96,1152
625,889,361,1153,97
626,890,362,98,1154
627,363,891,1155,99
628,892,364,100,1156
629,365,893,1157,101
630,366,894,617,102
631,367,895,103,1159
632,896,368,104,1160
633,897,369,408,3916
634,370,898,621,673
635,371,899,610,874
636,900,372,1164,108
637,901,373,1165,109
638,902,374,110,1166
639,375,903,111,1167
640,904,376,112,1168
641,377,905,113,1169
642,378,906,1170,114
643,379,907,115,1171
644,380,908,1210,177
645,381,909,117,1173
646,357,609,873,684
647,911,383,358,622
648,912,384,1176,120
649,913,385,1177,121
650,386,914,3694,3408
651,387,915,123,1179
652,916,388,1180,124
653,917,389,1181,125
654,918,390,1182,126
655,919,391,1183,127
656,4532,4233,4831,885
657,921,393,129,1185
658,922,394,1186,130
659,923,395,131,1187
660,924,396,1188,132
661,397,925,1189,133
662,494,926,398,230
663,399,927,1191,135
664,400,928,1024,760
665,929,401,1193,137
666,402,930,1194,138
667,403,931,1195,139
668,404,932,1196,140
669,933,405,1197,141
670,406,934,1198,142
671,407,935,143,1199
672,1211,897,936,408
673,707,684,621,409
674,410,938,1976,1710
675,411,939,1977,2243
676,412,940,3601,3875
677,413,941,712,1713
678,414,942,1206,150
679,415,943,151,1207
680,416,944,234,498
681,417,945,153,1209
682,946,418,1210,154
683,419,947,408,706
684,621,357,673,873
685,949,421,674,3013
686,422,950,2338,2604
687,951,423,2339,2605
688,952,424,160,1216
689,425,953,161,1217
