0,1,2
-1.8353537563892102,-9.42109636454428,0.05553650917191161
-1.8528532934611237,-9.416831631659992,0.04722909430107688
-1.946840233216781,-9.400289794757448,0.003228121507807028
-2.0824265475623007,-9.397208646346458,-0.0693105812695552
-2.2284685485371383,-9.390026117737898,-0.11255451497190952
-2.243161957546605,-9.427800767052123,0.20600037356647422
-2.0546524708435627,-9.492894307969763,0.557657964223218
-1.793210924121345,-9.541357291548417,0.6868404069745663
-1.7010812077523105,-9.551038790943991,0.6104641111847606
-1.5963367205512533,-9.54146624203705,0.5044315335020664
-1.4901821746294903,-9.499322582278625,0.382735314129594
-1.4133830683561661,-9.45657700638254,0.0880200825711267
-1.416767761150295,-9.446025779181356,-0.21511458389239121
-1.6645733682955692,-9.403862368252964,-0.3908088751249708
-2.038382615670111,-9.369307127452396,-0.5722913829199738
-2.341267439606368,-9.364640295097098,-0.6754448726443528
-2.3629673796748096,-9.396441586663514,-0.5788240442134965
-2.0607112043565086,-9.48083119557646,-0.2993856931293612
-1.6173067483487529,-9.55879649135274,-0.045609899665456366
-1.437910708021102,-9.450977385400911,-0.20778158120296814
-1.527283652987649,-9.29196061760059,-0.5148169327414132
-1.8302892299654556,-9.150479250114845,-0.83624028660816
-2.2439908432474334,-8.895349790447641,-1.6837243839752323
-2.517183937905677,-8.317956463836541,-3.446957953518193
-2.6693370820700904,-7.16418109317679,-5.347107893314066
-2.750240974067757,-6.151965581458213,-6.423301834430229
-2.726657474729471,-5.482231061243518,-6.9648684169334185
-2.7263044724848235,-5.041141834007462,-7.269415766129586
-2.7301834138193004,-4.810059880058431,-7.401440642832718
-2.7152276348376,-4.675786504593359,-7.427352605503547
-2.662423755461276,-4.665520189969851,-7.420147614308428
-2.5356929716218977,-4.703675016417812,-7.448899314365865
-2.39241027234855,-5.1457080483953455,-7.262872057241507
-2.2490584389474892,-5.7739662364906446,-6.925443513485765
-2.007649190120874,-6.569962833147211,-6.4834181037322445
-1.77058517643396,-7.214238655668041,-6.008887105052649
-1.6305255183481953,-7.56524031853436,-5.7122403761915015
-1.5640378742669008,-7.649015212717828,-5.707547545666935
-1.538218790123095,-7.626840326634843,-5.799873228762415
-1.5583041462911817,-7.518969598748439,-6.000232581249991
-1.5890889739019411,-7.251626009556762,-6.317491446078668
-1.5707994002120236,-6.838959800833944,-6.741639900616695
-1.525684226645962,-6.390415225031671,-7.14900886868733
-1.487215598741687,-5.948294258620063,-7.474205283335321
-1.6209328815683024,-5.510491665331368,-7.714850064392318
-1.7962964189967128,-5.060846926963218,-7.953003615353473
-1.843737542246363,-4.684346256178222,-8.155745272583312
-1.8279022219263141,-4.474742617764182,-8.303724275051044
-1.7844168763096884,-4.47476644424427,-8.321587996573637
-1.6742559397648369,-4.6529754168872515,-8.230872476519837
-1.5692550170684476,-4.951994644794526,-8.053144533885574
-1.6726159520181558,-4.917438882621893,-8.041343902075969
-1.775348437909004,-4.86480480330124,-8.028637965180708
